seq_ID,student_name,students_ID,host_animal,tissue_type,Date,Temperature,Timepoint
A1,Hailey,D,oyster,whole_tissue,,,
B1,Hailey,D,oyster,whole_tissue,,,
C1,Hailey,E,oyster,whole_tissue,,,
D1,Hailey,E,oyster,whole_tissue,,,
E1,Hailey,G,oyster,whole_tissue,,,
F1,Hailey,G,oyster,whole_tissue,,,
G1,Hailey,I,oyster,whole_tissue,,,
H1,Hailey,I,oyster,whole_tissue,,,
A2,Hailey,K,oyster,whole_tissue,,,
B2,Hailey,K,oyster,whole_tissue,,,
C2,Hailey,N,oyster,whole_tissue,,,
D2,Hailey,N,oyster,whole_tissue,,,
E2,Hailey,P,oyster,whole_tissue,,,
F2,Hailey,P,oyster,whole_tissue,,,
G2,Hailey,R,oyster,whole_tissue,,,
H2,Hailey,R,oyster,whole_tissue,,,
A3,Tom,10.13_4,HSC,gill_biofilm,20201013,,
B3,Tom,10.13_4,HSC,gill_biofilm,20201013,,
C3,Tom,10.13_5,HSC,gill_biofilm,20201013,,
D3,Tom,10.13_5,HSC,gill_biofilm,20201013,,
E3,Tom,10.15_1,HSC,gill_biofilm,20201015,,
F3,Tom,10.15_1,HSC,gill_biofilm,20201015,,
G3,Tom,10.15_4,HSC,gill_biofilm,20201015,,
H3,Tom,10.15_4,HSC,gill_biofilm,20201015,,
A4,Tom,10.15_5,HSC,gill_biofilm,20201015,,
B4,Tom,10.15_5,HSC,gill_biofilm,20201015,,
C4,Tom,10.17_1,HSC,gill_biofilm,20201017,,
D4,Tom,10.17_1,HSC,gill_biofilm,20201017,,
E4,Tom,10.17_4,HSC,gill_biofilm,20201017,,
F4,Tom,10.17_4,HSC,gill_biofilm,20201017,,
G4,Tom,10.17_5,HSC,gill_biofilm,20201017,,
H4,Tom,10.17_5,HSC,gill_biofilm,20201017,,
A5,Tom,10.19_4,HSC,gill_biofilm,20201019,,
B5,Tom,10.19_4,HSC,gill_biofilm,20201019,,
C5,Tom,10.19_5-2,HSC,gill_biofilm,20201019,,
D5,Tom,10.19_5-2,HSC,gill_biofilm,20201019,,
E5,Tom,10.21_1,HSC,gill_biofilm,20201021,,
F5,Tom,10.21_1,HSC,gill_biofilm,20201021,,
G5,Tom,10.21_4-2,HSC,gill_biofilm,20201021,,
H5,Tom,10.21_4-2,HSC,gill_biofilm,20201021,,
